text,candidate
"यो हत्यारा <br>एसको कहिले पाप निस्किने हो !!!<br>यो उखान टुक्के<br> देश लुटेर, खोक्रो बनायो, देश तईले बनाउँछस?? <br>यतिका वर्ष के गर्दै बसिस त??<br>यो oli को हत्या गरेको पाप एसलाई मात्र होइन यसका झोले लाई पनि 7 पुस्ता सम्म लागोस्!!",KP Oli
लुट्ने ठग्ने  मार्ने उद्देश्य किन चाहियो एमाले का झोले हरु संग छ त,KP Oli
आफु गतिलो भएको भए  अरु लाई जब पायो त्यही भनी दैन के पि बा,KP Oli
Sala gali garne sabda pani chaina talai.tero ghamanda ra ahankar le yamale ko patta saf garayo,KP Oli
"Yo manxe le 40 barsha dekhi rajniti garo euta nagar ko mayaer le purai desh nai banai deenu parne 40 barsha ma ba le chai purai kayapalat gare jasto furti lagauxa prashna naya lai sodhna pani laaz hunu parne janta jhukyaune,bharstha manav taskar bhanda aru khasai garya xainau.",KP Oli
kepi bajeko gaf kehi chalden 😊,KP Oli
उखानले देश चल्ला र?,KP Oli
ए एमाले मुझी  बतासे  अन्डा त त होस  आफैले  आफुलाई   किन  प्रश्न गर्दैछस,KP Oli
Budo jindagi nasudrine vo,KP Oli
हेर्दै जा वलि तेराेहाल भाेलि,KP Oli
"बतासे,हावा,झुटो,गफाडी, उखान- टुक्के, खाली आलोचना गर्ने बानी ले भरिएको बुढो गिधी 👈",KP Oli
Himali bhegma manxe nahunu chai terai Karan le manxe bidesh lagnu pareko!,KP Oli
त जस्तो अपुताली ले देश चलाएकाे भएर देश  खाली भएकाे पहाडी भेगमा मानिस नभएको हाे ।,KP Oli
हो कुरा त शहिछ,KP Oli
हो हइ,KP Oli
Yesle ta yamaraj lai ni thagxa marepaxi kasto fataha ho yo aputali thukka ali kati laaj ghin saram kei xaina,KP Oli
Bolyo Ki Polyo Oli Ba. Ab ki bar Balen Sarkar.,KP Oli
😂😂😂😂😂,KP Oli
पहिला 46 सालमा तिमिपनी बताले अन्डा थियौ होला। तेइ भयर देश धोस्त बनायौ बिगारेउ। तर बालेन तिमी जस्तो बतासे होइन। उ लाई मौका दिने हो भने देश लाई केही बनाउछ। तिमी जस्तो 8 class faill होइन बालेन। उ एउटा इन्जिनियर हो। यो कुरा  याद गर्नु सुद्दो 8 फेल र इन्जिनियर मा कस्को दिमाग हुन्छ भनेर। बखम फुसे कुरा  गरेछ बसेछ झापा जानू सुद्दो भोत माग्न।,KP Oli
थुक्क अपुत्राे,KP Oli
Balen ❤❤,KP Oli
ए माले पाटिले अब कमेडी शो चलायो भने चल्छ अब,KP Oli
Yeha 👏 👏 garne haru lai k vannu?,KP Oli
Ye dargaya.😅😅,KP Oli
Giri bandu Chor fatale k bhanchaa,KP Oli
"झापा 5 मा बालेन मात्रै त होइन होला नि, अरुको केही कुरै छैन,",KP Oli
j bolxas ni aba 1 mahina ho tespaxi gunddu ma bas..,KP Oli
Yetii bhanera jhan harne vayau buda,KP Oli
Aru ko khedo khanne matra tero kam xaen.,KP Oli
Yes kp oli,KP Oli
Aaputo kp,KP Oli
NARAN GOPAL KO GEET KO SABDA <br>KO SAHI THOU MA LAGAU,KP Oli
यो अहंकार ले अब देश नै छाडि भाग्ने दिन आउन सक्छ केपि लाई।,KP Oli
