text,candidate,source,channel
❤❤ Best wishes Meena Dijju❤❤❤,mina kharel,yt:Mina Kharel,comment
पावर र पैसाले सबैलाई समाजमा रुपान्तरण गर्ने दल भनेकै नेपाली कांग्रेस हुन।,mina kharel,yt:Mina Kharel,comment
best interview meena didi ❣️🌳,mina kharel,yt:Mina Kharel,comment
Mina Kharelle Rajnitikaran Aastha,mina kharel,yt:Mina Kharel,comment
"शुभकामना ।
जय नेपाल । 🌳🌳🌳",mina kharel,yt:Mina Kharel,comment
Jay mina kharel,mina kharel,yt:Mina Kharel,comment
Mero Chitawanlai Mathi Uthauchhu Saharamatha Jati,mina kharel,yt:Mina Kharel,comment
"जनताकी छोरी र सवैकी दिदीलाई यसपटक सवैले माया र साथ दिनुहुनेछ ।
हार्दिक शुभकामना ! !",mina kharel,yt:Mina Kharel,comment
तपाईंको जित सुनिश्चित छ दिदि,mina kharel,yt:Mina Kharel,comment
Kun party ko k ho bujhina maile ta!,mina kharel,yt:Mina Kharel,comment
खातेकि दिदी 😥भन्ने शव्द हटाउनु होला। सडक बालबालिका लेख्नु होला । Its a humble request,mina kharel,yt:Mina Kharel,comment
"राम्रो समाजसेवी,त्याग तपस्या गरेको व्यक्ति तर के गर्नु बुझेर हो कि नबुझेर हो हुइँया चलेको छ  देशमा!!",mina kharel,yt:Mina Kharel,comment
"Best of luck Didi तर तपाईंले मतदाताले यी यी कारणले मलाई मत दिनुहोस् नभन्नु होला है, असली सुनलाई कसी लगाउनु पर्दैन तपाईं असली सुन हो तपाईंलाई मत नदिन कारण नै छैन त्यसैले अरु जस्तो कारण मत माग्न रोइकराई र झुटा आश्वासन गर्न  आवश्यक छैन । तपाई भुई मान्छेको साहारा हो र खोला तर्ने लाठी हो त्यसैले तपाईंले नै त्यो ठाउँमा पुगेर ति भुई मान्छेको आवाज सुनाउने र निर्णय गराउन सक्ने ठाउँमा पुग्न आवश्यक छ तर तपाईले बाटो,पानी,बिजुली रोजगारी दिने ठाउँमा जाने ठाउँ त्यो हैन त्यहाँ त नीति निर्माण गर्ने ठाउँ हो त्यसैले तपाईंले आफ्नो अधिकार क्षेत्र पर्ने कुराको मात्र बाचा गर्नु होला । ३३ कोटी देउताको आश्रीबाद रहोस् दिदीलाई लामो आयु रहोस् अनि जितको शुभकामना छ ।",mina kharel,yt:Mina Kharel,comment
नमस्कार कतारमा बस्ने हामी नेपाली श्रमजीवी युवाहरू🙏🙏🙏🙏🙏🙏🙏🙏🖐️,mina kharel,yt:Mina Kharel,comment
तत्कालिन चितवन प्रहरी प्रमुख सुरेन्द्र बहादुर शाह र डि.एस.पि. धिरु बस्नेत काे पालामा म पनि जिल्ला प्रहरी कार्यालय चितवकाे सामुदायिक प्रहरी सेवामा कार्यरत रहदा मिना खरेल सँग सँगे काम गरियाे एकदमै सबल र सक्षम महिला हुन।,mina kharel,yt:Mina Kharel,comment
बानियाँ जी सही व्यक्ति ल्याउनु भो धन्यवाद 🎉,mina kharel,yt:Mina Kharel,comment
"जाग, बुझ चितवनवासी, अब तपाइहरुको विवेक पुरा नेपाल र विश्व ले हेर्नेछन।",mina kharel,yt:Mina Kharel,comment
चितवन का जनताले त नाम सुनेकाछैन हाेला झन नेपाल अधिराज्य भरि कसले चिने? जय🔔🔔🔔🔔🔔🔔,mina kharel,yt:Mina Kharel,comment
वाह दिदी ❤ 🌳,mina kharel,yt:Mina Kharel,comment
रेणु र यिनी चितवन न्याय गरोस्!,mina kharel,yt:Mina Kharel,comment
तपाईको यात्रा शुभ रहोस । अनि मनकामना पुरा होस ।,mina kharel,yt:Mina Kharel,comment
साहासि ब्यत्तित्व ।।,mina kharel,yt:Mina Kharel,comment
अग्रिम  शुभकामना  दि,mina kharel,yt:Mina Kharel,comment
"नेपालले नै सम्मान गर्न पर्ने नारी हुनुहुंदो रहेछ । यति सक्षम, यति अब्बल महिला  बाफरे सम्मान ।",mina kharel,yt:Mina Kharel,comment
देशले खोजेको महिला नेतृ जितको शुभकामना छ मिना दिदि,mina kharel,yt:Mina Kharel,comment
"❤❤धेरै धेरै राम्रो बरिस्ठ ,पत्रकार  राजेन्द्र ❤❤
भुइँ  मुन्छे का कुरा ❤❤❤",mina kharel,yt:Mina Kharel,comment
"""म आलोचना गर्न राजनितिमा आको होईन"" वाउ 🌳🌳🙏🙏",mina kharel,yt:Mina Kharel,comment
जनता ले जिताउनु पर्ने  उमेदवार वहानै हो।हेरौ चितावन ले समाजसेवी लाई जिताउछन कि सहकारी ठग लाई ।,mina kharel,yt:Mina Kharel,comment
रवि दाई ❤️‍🩹❤️‍🩹🇳🇵🔔💖,mina kharel,yt:Mina Kharel,comment
कस्तो बौद्धिक अन्तर्वार्ता यार❤❤ आजै चिने मिना खरेल लाई तर आजै मन नित्यो बाफ्रे शसक्त हुनुहुदरहेछ❤अगृम शुभकामना,mina kharel,yt:Mina Kharel,comment
"राजेन्द्रजी न्यायोचित सेवा र विकास, महिलालाई हेर्ने विसयमा अध्ययनको कमि देखियो!",mina kharel,yt:Mina Kharel,comment
खातेको दिदी र खाते दिदी को अर्थ आकाश-जमिनको हुन्छ ।,mina kharel,yt:Mina Kharel,comment
well done dd,mina kharel,yt:Mina Kharel,comment
"राजेन्न्द्र  सर  ले आज  बल्ल  सुन्न  मनलागेको  माञ्छे  संग  साक्षत कार  गराउनु  भयो। पिडित  भुइँ  मान्छेहरुकी  सुख दू ख कि  साथि  मिना  दिदि  का  कुरा  सुन्दा दूख  नि  लाग्यो  खुसि  नी  लाग्यो  , दुख  यसकारण की  राज्य को  नजर  यस्ता समस्या  तर्फ  अझै सम्म छैन र  खुसि  यसकारण  कि राज्य को नजर नपरे पनि  कोहि न कोहि  त यी भुइँ मान्छे  हरु को समस्या समाधान  गर्न  कोशिस  गरि  रहेको  छ। 

मलाई लाग्छ  चितवन  २ का  बुद्दि जीबी मत  दाता  हरु  अहिले  धर्म संकट  मा  हुनहुन्छ। अन्तर मन को  आबज  सुनेर  मत दान गर्ने कि एउटा भाबआबेश  लाइ  सम्झेर मतदान  गर्ने  , आसा  गर्दछु  तपाई हरु अन्तरमनको  आबाज   का साथ  मिना  दिदि  लाई  मत दान  गर्नु  हुनेछ जसले  मिना दिदि लाई  काम  गर्न  अरु  मद्दत  गर्छ।",mina kharel,yt:Mina Kharel,comment
"Full goosebumps in my body❤. Har jit aafno thauma xa tara uhako tyag, samarpan ra samajsewa Aru sanga tulanayogya xainw. Best wishes dijju.❤",mina kharel,yt:Mina Kharel,comment
म जन्मिएको चितवन मा हो। तर यी दिदिको अहिलेसम्म कहिल्यै पनि नाम पनि सुनिन र देखिन पनि।,mina kharel,yt:Mina Kharel,comment
उहाले भनेका वास्तबिक समस्या समाधान गर्न नेतालाई भट्ने परिपाटि र अवस्था तिनै पूराना पार्टिले ल्याएका हून मिना दिदि जस्तो योगाय व्यक्ति तिनै पूराना भ्रष्ट पार्टिहरूमा नजोडिएको राम्रो हून्थ्यो।,mina kharel,yt:Mina Kharel,comment
यो चुनाव मा रबि जि लाई जित्न  गाह्रो छ र चितवन ले रबि लाई हरायकै ठिक छ,mina kharel,yt:Mina Kharel,comment
यस्ता सच्चा समाजसेवी उमेदवारको आम मतदाताले कदर गर्न सकुन।धन्यबाद ।जय नेपाल ।,mina kharel,yt:Mina Kharel,comment
great leader,mina kharel,yt:Mina Kharel,comment
सहि    हाे     गाराे      छ    बहिनि,mina kharel,yt:Mina Kharel,comment
कमसे कम लोक हसाउने काम नगर्नुस आमै।,mina kharel,yt:Mina Kharel,comment
"न कसैलाई गाली छ, सालीन ब्यक्तित्व असल समाजसेवी मीना दिदीलाई हराउनु भनेको विवेक गुमाउनु हो । चितवन २ का मतदाताले विवेक गुमाउदैनन भन्ने विश्वास छ ।",mina kharel,yt:Mina Kharel,comment
हैट आँखाबाट आँसु बगिरह्यो । मिना दि जित्नैपर्छ ।,mina kharel,yt:Mina Kharel,comment
रवि जितेर संसद भवन छिर्न पाउँदैनन् कृपया चित्वनबसी यि दिदीलाई जिताऊ।,mina kharel,yt:Mina Kharel,comment
"पार्टी भित्र सबै नराम्रो ब्यक्ति हुदैनन् , मिना बैनीको सहयोग हेर्ने हो भने धेरै धेरै छन , महिला या पुरुष पिडितहरु र बिदेशी पिडित हरुलाई समेत आफ्नो बलबुतो ले भ्याए सम्मको सहयोग गर्दै आउनु भएको छ, समाजमा आई परेको कयौं सेवा गर्दै आउनु भएको छ, वहाँ लाई चितवनका २ नम्बर क्षेत्रका जनताले बिर्सनु हुदैन, वहाँको योग्यताको कदर गर्दै , पार्टी लाई हैन, वहाँको कामलाई प्रसंशा गर्दै अत्याधिक भोट दिएर "" चितवन कि चेली "" लाई जिताउन म आग्रह गर्दछु, 🙏मिना बैनी बिजयी भव🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏 🙏जय नेपाल 🙏",mina kharel,yt:Mina Kharel,comment
Jay ghanti...........suvakamana,mina kharel,yt:Mina Kharel,comment
"मैले प्रतक्ष कुनै कार्यक्रमका क्रममा देखें होला त्यति थाहाँ छैन। नेपाली काग्रेस ले योगदानको आधारमा मूल्याङ्कन गरी मिनादिदिलाई चिनेछ। एक शिक्षित, सक्षम महिलालाई पार्टीले (गगन थापाले) टिकट दिनुभो असाध्यै राम्रो निर्णय।
शुभ अनी विजय भव दिदी।
राजेन्द्र बानियाँ सरको भन्नु भएको महिला किन उप मात्रै हुने प्रमुख किन नहुने भन्ने महत्त्वपूर्ण शब्द लागू भएछ । यो अभियानमा",mina kharel,yt:Mina Kharel,comment
jitnu parxa hai dd suvakamana 🎉🎉🎉,mina kharel,yt:Mina Kharel,comment
यो चित्र चितवन जिल्लाका जनताले बुझ्नुपर्छ हो हजुर,mina kharel,yt:Mina Kharel,comment
Mina Didi Lai agrim shubhakamana🎉,mina kharel,yt:Mina Kharel,comment
"चितवन बासीले यस्तो बौध्दिक ,सामाजिक ब्यक्तिलाई जिताउनुहुने छ।",mina kharel,yt:Mina Kharel,comment
Best of luck sister ❤❤❤,mina kharel,yt:Mina Kharel,comment
Mina kharel jyu 🙏🙏🇳🇵🇳🇵❤️❤️😭😭,mina kharel,yt:Mina Kharel,comment
जय नेपाल 🌳🌳🌳🌳,mina kharel,yt:Mina Kharel,comment
देश लाई नभई नहुने नेतृत्व मिना खरेल ❤,mina kharel,yt:Mina Kharel,comment
म मतदाता हैन तर ऊहाँलाई सुन्दा बुझ्दा   रविले ल्याऊने भनेको सुनामिको छाल शायद रोकिएला ...रोकिएन भनेपनि धेरै ठुलो क्षति गर्दैन यति बुझियो लौ....मिना दिदिलाई शुभकामना।,mina kharel,yt:Mina Kharel,comment
जय नेपाल दिदी,mina kharel,yt:Mina Kharel,comment
"हाेनहार समाजसेवी दिदी ❤❤❤,जय नेपाल ।",mina kharel,yt:Mina Kharel,comment
"आधा मात्रै सुनेर कमेन्ट गरेको हो, रविजस्तो बहुरूपीयालाई भोट हाल्नुभन्दा यी दिदीलाई भोट दिए चितवनका जनताले सुख पाउँछन्, म चितवनमा भइदिएको भए ५० जनासँग हात जोडेर भएपनि दश पन्ध्र भोट चाहिँ यी दिदीको लागि पक्कै जुटाउथे, यीनमा कुनै स्वार्थ देखिदैन... मात्र त्याग!!",mina kharel,yt:Mina Kharel,comment
Good luck dd,mina kharel,yt:Mina Kharel,comment
All the best,mina kharel,yt:Mina Kharel,comment
"Mahan Nari hunuhudorahechha, Maile paile rabiko barema socheko thiya tara waha jasto byektilai vote nadiye paap lagchha.",mina kharel,yt:Mina Kharel,comment
Wow दिदी हजुरको कुराले मन छोयो जितको सुभकामना दिदि🙏,mina kharel,yt:Mina Kharel,comment
जय घन्टी जय रबी 🔔🔔🔔🔔🔔🔔🔔🔔🔔👍️👍️👍️👍️👍️👍️👍️👍️👍️👍️,mina kharel,yt:Mina Kharel,comment
Congratulations 🎊 👏 MINA JI,mina kharel,yt:Mina Kharel,comment
Didi good,mina kharel,yt:Mina Kharel,comment
🌲🌲🌲🌲🌲🌲🌳🌳🌳🌳🌳🌳🌳🌳🌳🌳🌳🌳🌳Jay Nepal,mina kharel,yt:Mina Kharel,comment
सोद्धै नसोधी 🙏धेरै कुरा बुझ्न पाए धन्यवाद राजेन्द्र दाइ 🙏🙏,mina kharel,yt:Mina Kharel,comment
"दिदीले  समाज का लागि गरेको योगदान  प्रेरणादायी छ त्यस्का  लागि नमन  र शुभकामना ।
तर यो समय देशसेवा लागि हो पुस्तान्तरन को हो परिवर्तनको लागि हो।  स्थिर सरकार को लागि हो त्यस्का लागि घण्टी बजौउन जरुरी छ चाहे त्यो चितवन् होस या देश भारी यो समय घण्टीको हो ।",mina kharel,yt:Mina Kharel,comment
"Hats off for your incredible works. Best wishes, respected Didi.",mina kharel,yt:Mina Kharel,comment
Wow diii Rajendra ji tapaile yo karyakm yak CHOTI hajur le panihernush na hai .....,mina kharel,yt:Mina Kharel,comment
