text,candidate,outlet,published,weight,script,channel
"१० बजे १० समाचार : ओलीले हप्काएपछि ढले जेएन, बालेन टिमले सचेत गराएपछि पाण्डेको विज्ञप्ति",balen,ratopati,2026-08-04 10:30:00+00:00,0.8716,deva,news
PM Balen Shah holds meeting with Sudurpaschim lawmakers,balen,Khabarhub,2026-08-04 01:05:45+00:00,0.6521,latin,news
Prime Minister Balen Shah Discusses Contemporary Political Issues with Sudurpashchim Province MPs,balen,Ratopati,2026-08-04 00:46:14+00:00,0.8373,latin,news
Balen-led govt has failed to win confidence of Nepal's immediate neighbors: UML,balen,myRepublica,2026-08-03 18:59:36+00:00,0.6359,latin,news
Prime Minister Balen Shah Directs Strict Monitoring of Hate Speech Spreaders,balen,Ratopati,2026-08-03 17:44:02+00:00,0.8133,latin,news
Balen Shah's Impending Visit To India Is In Focus Amid Search For Foreign Policy Clues,balen,ETV Bharat,2026-08-03 09:38:03+00:00,0.6118,latin,news
"PM Balen pays tribute to Nirmal Purja, fellow climbers killed in Broad Peak avalanche",balen,myRepublica,2026-08-01 06:12:34+00:00,0.4948,latin,news
King’s link to Hindu state inappropriate right now: PM Balen,balen,Nepal Khabar,2026-07-31 23:25:47+00:00,0.4812,latin,news
"Madhesi Leaders Accuse PM Balen Shah of Premeditated Violence, PM Denies Conspiracy",balen,Ratopati,2026-07-31 21:20:16+00:00,0.6133,latin,news
Nepal Communal Violence: Can Balen Shah Deliver on Governance Promise After 100 Days?,balen,Daily Pioneer,2026-07-31 18:53:20+00:00,0.4723,latin,news
Prime Minister Balen Shah Becomes Politically Active Amidst Communal Tensions,balen,Ratopati,2026-07-31 11:15:49+00:00,0.5884,latin,news
"Nepal's Hindu-Muslim Unrest: Balen Shah Under Fire For 'Delayed' Response, 3 Dead In Clashes",balen,The Times of India,2026-07-31 09:43:19+00:00,0.4547,latin,news
PM Balen Shah says govt prioritising empowerment of provinces,balen,Khabarhub,2026-07-31 09:27:11+00:00,0.4542,latin,news
प्रधानमन्त्री बालेनलाई 'आधिकारिक च्यानलबाट आएको छैन' भारत भ्रमणको निम्तो,balen,Hamro Patro,2026-07-31 08:39:15+00:00,0.4527,deva,news
"संवादमा अघि-अघि रवि, पछि-पछि बालेन",balen,Hamro Patro,2026-07-31 07:57:21+00:00,0.4514,deva,news
PM Balen Shah tells Madhesh leaders he is committed to federalism and secularism,balen,Khabarhub,2026-07-31 06:40:27+00:00,0.449,latin,news
Prime Minister Balen Shah Assures Security and Social Harmony in Sunsari and Other Districts,balen,Ratopati,2026-07-31 04:56:49+00:00,0.5732,latin,news
Prime Minister Balen Shah Clarifies Stance on Federalism Amidst Discussions with Madhesi Leaders,balen,Ratopati,2026-07-31 03:51:53+00:00,0.5707,latin,news
"Balen reaffirms commitment to federalism, rejects anti-federalist label",balen,Khabarhub,2026-07-31 02:48:08+00:00,0.4419,latin,news
Madhesi Leaders Discuss Conflict Resolution with Prime Minister Balen Shah,balen,Ratopati,2026-07-31 02:31:30+00:00,0.5675,latin,news
Nepal Protests: Why Madhesh region is protesting against PM Balen Shah just months after his rise as a you,balen,The Economic Times,2026-07-31 01:11:50+00:00,0.439,latin,news
Balen Shah begins consultations with Madhes leaders,balen,Khabarhub,2026-07-31 00:43:08+00:00,0.4381,latin,news
"As communal violence leaves three dead in Nepal, PM Balen Shah’s delayed response faces criticism",balen,ThePrint,2026-07-30 23:42:41+00:00,0.4363,latin,news
"Nepal communal violence: Three killed, curfew widens; PM Balendra Shah appeals for calm",balen,The Times of India,2026-07-30 21:45:00+00:00,0.4328,latin,news
CPN-UML General Secretary Shankar Pokharel comments on Prime Minister Balen Shah's address,balen,Ratopati,2026-07-30 16:49:06+00:00,0.5453,latin,news
Meeting between Prime Minister Balen Shah and President Ram Chandra Paudel,balen,Ekantipur,2026-07-30 13:21:25+00:00,0.4181,latin,news
President Paudel urges PM Balen to maintain harmony through political consensus,balen,Khabarhub,2026-07-30 10:22:41+00:00,0.413,latin,news
Prime Minister Balen Shah Meets President Ramchandra Paudel,balen,Ratopati,2026-07-30 10:14:14+00:00,0.5307,latin,news
PM Balen meets President Paudel after national address,balen,Khabarhub,2026-07-30 10:07:39+00:00,0.4125,latin,news
शितलनिवास पुगेर प्रधानमन्त्री बालेनले गरे राष्ट्रपति पौडेलसँग भेटवार्ता,balen,Hamro Patro,2026-07-30 10:03:10+00:00,0.4124,deva,news
Prime Minister Balen Shah Meets President Ram Chandra Paudel,balen,Ratopati,2026-07-30 09:54:18+00:00,0.5299,latin,news
Dahal questions PM Balen over lack of dialogue with opposition,balen,myRepublica,2026-07-30 06:30:00+00:00,0.4064,latin,news
Nepal Protests: Why Madhesh region is protesting against PM Balen Shah just months after his rise as a youth icon,balen,inkl,2026-07-30 01:15:00+00:00,0.3977,latin,news
National Security Council meeting called by PM Balen Shah,balen,Khabarhub,2026-07-29 23:27:26+00:00,0.3948,latin,news
Prime Minister Balen Shah Engages in Dialogue with Private Sector Amidst Economic Discussions,balen,Ratopati,2026-07-29 21:39:30+00:00,0.5038,latin,news
Critics ask: ‘Who is Nepal’s Prime Minister — Balen Shah or Rabi Lamichhane?’,balen,Khabarhub,2026-07-29 10:25:40+00:00,0.3741,latin,news
PM Balen Shah appointed RSP senior leader,balen,Khabarhub,2026-07-29 08:00:38+00:00,0.3704,latin,news
RSP appoints PM Balen Shah as Senior Leader,balen,Nepalnews.com,2026-07-29 07:46:42+00:00,0.37,latin,news
Prime Minister Balen Shah Briefed on Sunsari Incident,balen,Ratopati,2026-07-29 07:38:15+00:00,0.4755,latin,news
रास्वपा वरिष्ठ नेतामा बालेन मनोनीत,balen,Hamro Patro,2026-07-29 07:29:06+00:00,0.3696,deva,news
"Cabinet Meeting Held Under Prime Minister Balen Shah, Decisions Made",balen,Ratopati,2026-07-29 05:53:51+00:00,0.4721,latin,news
Cabinet Meeting Convened by Prime Minister Balen Shah,balen,Ratopati,2026-07-29 04:57:23+00:00,0.4703,latin,news
India Reiterates Invitation to Prime Minister Balen Shah for Visit,balen,Ratopati,2026-07-29 03:33:10+00:00,0.4676,latin,news
Prime Minister Balen Shah's Tax Reversal Announcement Unimplemented,balen,Ratopati,2026-07-29 02:43:10+00:00,0.4659,latin,news
"All-Party Meeting Held Over Sunsari Tension, PM Balen Shah Criticized",balen,Ratopati,2026-07-28 22:18:10+00:00,0.4575,latin,news
"PM Balen expresses grief over Sunsari incident, urges restraint",balen,Khabarhub,2026-07-28 18:40:17+00:00,0.3506,latin,news
Balen Shah’s First 100 Days: Nepal’s Political Honeymoon Faces Governance Test,balen,Daily Pioneer,2026-07-28 18:26:22+00:00,0.3502,latin,news
India invites Nepal PM Balen Shah for official visit,balen,The Indian Express,2026-07-28 09:26:27+00:00,0.3375,latin,news
India confirms invitation to Prime Minister Balen Shah for official visit,balen,Nepalnews.com,2026-07-28 07:05:55+00:00,0.3342,latin,news
India extends invitation to Prime Minister Balen Shah for official visit,balen,Khabarhub,2026-07-28 06:49:54+00:00,0.3339,latin,news
