text,label,channel
Jai harka jai mato❤❤,positive,comment
Take time sir believe in baleen. P.m. jai Nepal 🇳🇵,positive,comment
❤❤जय माटो जय देश🙏🇳🇵🎉🙏🇳🇵❤️,positive,comment
Kati घमण्ड हो के,negative,comment
आजको उहाँको  अभिव्यक्तिमा राष्ट्रप्रतिको गहिरो उत्तरदायित्व बोध र नेपाली जनताप्रतिको उच्च सम्मान स्पष्ट झल्किएको छ।,positive,comment
"सारै राम्रो काम हुनछ,भननेमा हामी बिश्वसत रहेका छौं ,३५बर्शमा जनमाएका बेथिति यथा समय लिई पुनः यस्ता कुमार्गी  काममा अब उपरान्त उसकाउने काम नहाेस ।।।जय नेपाल  ।।।।",positive,comment
Good ❤❤❤❤,positive,comment
"20 जना uml ले सदन मा के गर्ने रैछन 😅
😂",negative,comment
"प्यारा नेपाली दाजुभाइ तथा दिदीबहिनीहरू,

चार दशकभन्दा बढी समयदेखि हामीले एउटै अनुहार, एउटै भाषण र एउटै वाचा सुन्दै आएका छौँ। UML/केपी ओली, कांग्रेसका पुराना नेताहरू, र CPN (माओवादी)/प्रचण्ड वरिपरिका पात्रहरू—सबैले सत्तामा बसेर देशलाई आशा होइन, थकान मात्र दिए। भ्रष्टाचारका कथा, शक्ति दुरुपयोग, र जवाफदेहिताबाट भाग्ने संस्कार हामीले आफ्नै आँखाले देख्यौँ। आज उनीहरू नै नयाँ जस्तो मुखौटा लगाएर, भाषा फेरिएजस्तो देखाएर, RSP, रवि लामिछाने र बालेन साहमाथि निरन्तर आक्रमण गरिरहेका छन्—किनकि जनताले विकल्प देख्न थालेका छन्।

रवि लामिछानेमाथि भएको व्यवहारलाई धेरैले राजनीतिक प्रतिशोध जस्तो देखे—भ्रष्टाचारका प्रश्नहरूबाट ध्यान हटाउने प्रयासजस्तो। अनि बालेन साह? उहाँले काठमाडौँलाई काम गरेर देखाउनुभयो—नारा होइन, नतिजा। फोहोर व्यवस्थापनदेखि सार्वजनिक स्थानको अनुशासन, पारदर्शिता र साहसिक निर्णयसम्म—काठमाडौँ आज विकासको मोडल बन्न थालेको छ। यही कामले डराएको पुरानो शक्ति अहिले आलोचनामा जुटेको छ।

अब भ्रममा नपर्नुहोस्। पुराना पार्टीका पुराना अनुहारहरूले फेरि मौका पाए भने परिणाम पनि पुरानै हुनेछ। यो चुनाव भावनाको होइन, भविष्यको हो। डर होइन, आशाको हो। गाली होइन, कामको हो।

आउनुहोस्, भ्रष्टाचारको चक्र तोडौँ। नयाँ सोच, नयाँ नेतृत्व र जवाफदेही राजनीतिलाई अवसर दिऔँ। RSP, रवि लामिछाने र बालेन साहजस्ता काम गरेर देखाउने नेतृत्वलाई साथ दिऔँ—हाम्रो भोलि सुरक्षित, स्वाभिमानी र समृद्ध बनाउन|",positive,comment
"Searching Balen, When he is lost in प्रतिनिधि सभा 😂",negative,comment
Yes he is legend we like his vision let's grab this opportunity we support balan shah vote for him,positive,comment
Hatyara brastchai Lai karbahi kahile huncha hola,neutral,comment
"Question answer be like
म गर्छु आग्रा कुरा, सम्धी गर्छ गाग्रा कुरा😂",neutral,comment
"पाको बुढाको उधारो बाचाले उधारै भयो।अब युवा पुस्ताको बाचा हेर्ने हो,साच्चिकै हामी काठमाडौंमा बिकास र सुन्दर काठमाडौं हेर्नू छ,भने बालेन शाहको भिजन उत्तम छ, vote for Balen shah",positive,comment
chepare parchande,negative,comment
Kp चोर जिउदै छ किन आज त बिरामि छैन त,negative,comment
😂😂😂😂 jadugar lai pani sarkar ma jana paune aash palayexa ki kya ho.,neutral,comment
Anyone in 2026 😅,neutral,comment
