text,label,channel
अजै येस्को दुई जिब्रे कुरा सुन्नु हुदैन अब,negative,comment
"के पि बा सङ्ग तपाई अलि डराउनु भए जस्तो छ 
कडा question गर्न😁🙏",neutral,comment
राजेन्द्र sir ले पेल्नु नसक्ने भनेको हर्क सम्पाङ् लाई मात्र हो अरु लाई त पिसाब निस्किने गरि निचोर्नु हुन्छ 🤣🤣🤣🙏  anyway एकदम सान्दर्भिक छ 🙏🙏,neutral,comment
MCC लाइ समर्थन गर्ने हैन यो वाग्ले भन्ने त,negative,comment
बालेन शाह को बिचार हो यो bp को होइन,positive,comment
"Good harkji,यो चाहिन्छ ,! सरकारलाई ,?",positive,comment
केपी चोरभन्दा त प्रचण्ड हजार गुणा best!!,positive,comment
Padam जी लाई सोध्नुपर्ने तिम्रो स्याङ्जा को विकास मा तिम्रो सरकार हुँदा के के गर्यो भनेर पनि सोध्नुपर्ने,negative,comment
पुराना दललाई भोट किन?<br>1. एक एक वर्षमा सरकार बनाउन!<br>2. संसदमा कुर्सी हानाहान गर्न!<br>3. सत्ताको लागि जस्तो पनि गठबन्धन गर्न!<br>4. एउटा सरकारले बजेट बनाउने अर्को सरकारले कार्यान्वयन    गर्न!<br>5. 9/10 महिना सम्म निरन्तर संसद अवरोध गर्न!<br>6. सत्ता र शक्तिको चरम दुरुपयोग गर्दै जथाभावी राजनैतिक नियुक्ति गर्न!<br>7.बिधिको शासनको धज्जी उडाउन!<br>8. कार्यकर्ता पोस्न!<br>9.नेताको प्रभाव क्षेत्रको आधारमा बजेटको असमानुपातिक बितरण गर्न। <br>10. भ्रष्ट र अपराधीहरुलाई राजनैतिक दलको आस्थाका आधारमा संरक्षण गर्न<br>11.देशैभरी भ्रष्टाचारको जालो फैलाएर देश लुट्न!<br>12. .............. थप्दै जाँउ!,negative,comment
"जबसम्म मेरो घरमा नि:शुल्क उपचार, नि;:शुल्क शिक्षा र जनताबाट प्रत्येक्ष निर्वाचितको ब्यबस्थापन हुन्न, र मेरो नेपाली बजार भित्र बिहारी फिल्म र बिहारी गितहरुमा प्रतिबन्ध गरिन्न, तबसम्म म मेरो आफ्नो घर फर्किन्न, र म बाहिरी ब्रह्माण्ड भित्रै रुमली रहनेछु। धन्यवाद!&quot;O&quot;M´science",neutral,comment
पहिलो पटक vanera hola bt. भ्रष्टाचारी हरु बारे केही एक सब्द बोल्न  हार्क साम्पाङ्ग,negative,comment
मन रोयो hajur,neutral,comment
Bala बुदि ayaxa 😂😂,neutral,comment
Mantri Hune लोभ नगर्नुस् सांसद हरु,negative,comment
"पत्रकार साथीहरू, नेताको स्वास्थ्य होइन, देशको अवस्था र भ्रष्टाचारको बारेमा कडा प्रश्न सोध्नुस्। ७० करोड काण्ड, महाकाली सन्धि र भ्रष्टाचारी जोगाउन रचिएका AI का नाटकहरूका बारेमा जवाफ चाहियो। जनतालाई सञ्चो-बिसञ्चो होइन, सुशासन र न्याय चाहिएको छ! भ्रष्टाचारका ठूला फाइलहरूमा किन निष्पक्ष अनुसन्धान हुँदैन? नक्कली भुटानी शरणार्थीदेखि वाइडबडीसम्मका काण्डहरू किन दबाउन खोजिन्छ? भ्रष्टाचारीलाई सामान्यीकरण गर्न मिडिया र सत्ताको जुन साँठगाँठ देखिएको छ, त्यो लोकतन्त्रका लागि घातक छ। राष्ट्रहित विपरितका सन्धि गर्ने र देशको ढुकुटी रित्याउनेहरूलाई कानुनी कठघरामा उभ्याउनै पर्छ।""",negative,comment
उफ यो भाषण सार्है उच्चकोटिको थियो। सिम्प्ली गुज बम्प नै आयो। तर अचम्म लाग्छ! यस्तो सोंच भएको मान्छेले के कारणले हो रबी विरुद्ध सांसदमा गरेको कुकृत्य र सफेद कागज वाला झुठ  देख्दा सुन्दा उदेक लाग्छ। यहि कारणले होला सायद जनताले तपाईं र तपाईंको पार्टीलाई गज्ज्बले हराईदियो। hope you should have learned a lesson pretty well.,neutral,comment
"Prime minister nae kina खोज्नु हर्क जी वास्तै नगरी हिँड्दा पनी हुन्छ तपाईंले भनेकै हुनुपर्छ भन्ने सोच त्याग गर्दा राम्रो, आफु मा बढी ध्यान दिनु राम्रो 🙏🙏👍👍",neutral,comment
सस्कार बिना काे प्रस्न येा नेपाल<br>हाम्रेा हाेइन केपि मात्र हाे भन्ने हिसाव ले,negative,comment
Kp ba yaii faagun २१ gate thaha hunxa ko kasle kati gareko xa venera,neutral,comment
